,17:27421752-27422348,1:55076267-55076421,12:105431753-105432327,5:56224548-56225091,1:14925290-14925902,16:89299792-89300475,5:38962421-38963215,2:25456597-25457770,unmapped_reads,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq
sample365_S365_L001,18,0,9,0,21,10,0,1602,1442,1660,3102,3116
Aditee_ALDH1L2_Meir3_wiz_123_S759_L001,0,0,76,1633,0,0,0,4,1144,1713,2857,2844
Aditee_KAZN_ZNF778ICTOR_wiz_16_S844_L001,0,0,0,2,6395,5381,883,0,744,12661,13405,13482
sample129_S129_L001,0,0,1,0,0,0,0,9496,910,9497,10407,10424
sample88_S88_L001,0,0,2,0,0,0,0,6116,1046,6118,7164,7174
Aditee_MYO18A_Fam151a_wiz_112_S556_L001,10715,0,0,0,0,0,0,1,74670,10716,85386,85446
sample62_S62_L001,0,0,4,0,0,0,0,2718,1082,2722,3804,3810
sample252_S252_L001,0,0,1,0,0,0,0,6694,748,6695,7443,7460
sample296_S296_L001,0,0,3,0,0,0,0,1640,1174,1643,2817,2820
Aditee_KAZN_ZNF778ICTOR_wiz_19_S847_L001,0,0,0,0,8057,8581,1569,0,15106,18207,33313,33436
Aditee_KAZN_ZNF778ICTOR_wiz_29_S857_L001,0,0,0,6,7910,7856,1513,0,1718,17285,19003,19116
Aditee_MYO18A_Fam151a_wiz_110_S554_L001,8442,0,0,0,0,0,0,4,16314,8446,24760,24810
Aditee_KAZN_ZNF778ICTOR_wiz_146_S974_L001,0,0,0,0,5551,6690,1130,0,560,13371,13931,14036
Aditee_KAZN_ZNF778ICTOR_wiz_57_S885_L001,0,0,0,0,9256,8601,2010,0,1108,19867,20975,21110
sample173_S173_L001,0,0,0,0,0,0,0,4906,816,4906,5722,5726
sample214_S214_L001,0,0,3,0,0,0,0,5212,1388,5215,6603,6616
Aditee_MYO18A_Fam151a_wiz_163_S607_L001,7935,0,0,0,2,0,0,2,64302,7939,72241,72294
Aditee_MYO18A_Fam151a_wiz_74_S518_L001,9360,0,0,0,0,0,0,0,4796,9360,14156,14206
sample190_S190_L001,0,0,7,0,0,0,0,8064,1572,8071,9643,9660
sample339_S339_L001,0,0,0,0,0,0,0,8,850,8,858,858
sample425_S425_L001,0,0,0,0,0,0,0,2523,578,2523,3101,3106
Aditee_MYO18A_Fam151a_wiz_119_S563_L001,8661,0,0,0,0,0,0,0,4238,8661,12899,12962
sample230_S230_L001,0,0,10,0,0,0,0,9907,456,9917,10373,10394
sample48_S48_L001,0,0,0,0,0,0,0,9199,1522,9199,10721,10734
Aditee_KAZN_ZNF778ICTOR_wiz_53_S881_L001,0,0,0,0,8586,8722,1593,0,1186,18901,20087,20258
Aditee_MYO18A_Fam151a_wiz_154_S598_L001,9135,0,0,0,0,0,0,0,4672,9135,13807,13868
sample231_S231_L001,0,0,11,0,0,0,0,7433,920,7444,8364,8390
sample117_S117_L001,0,0,4,0,0,0,0,3196,862,3200,4062,4068
sample439_S439_L001,0,0,2,0,0,0,0,3369,858,3371,4229,4238
sample335_S335_L001,0,0,0,0,0,0,0,2,0,2,2,2
sample147_S147_L001,0,0,1,0,0,0,0,1772,486,1773,2259,2264
Aditee_MYO18A_Fam151a_wiz_56_S500_L001,9363,0,1,0,0,0,0,0,17220,9364,26584,26640
sample49_S49_L001,0,0,5,0,0,0,0,8110,900,8115,9015,9038
sample63_S63_L001,0,0,9,0,0,0,0,16107,830,16116,16946,16994
sample401_S401_L001,0,0,0,0,0,0,0,2,1112,2,1114,1114
Aditee_ALDH1L2_Meir3_wiz_56_S692_L001,0,0,103,382,0,0,0,0,762,485,1247,1202
Aditee_ALDH1L2_Meir3_wiz_15_S651_L001,0,0,84,518,0,0,0,0,1168,602,1770,1734
sample175_S175_L001,0,0,12,0,0,0,0,11124,660,11136,11796,11832
Aditee_ALDH1L2_Meir3_wiz_108_S744_L001,0,0,221,1233,0,0,0,2,1040,1456,2496,2388
sample215_S215_L001,0,0,4,0,0,0,0,1982,532,1986,2518,2526
sample388_S388_L001,0,0,0,0,0,0,0,596,744,596,1340,1340
sample136_S136_L001,0,0,12,0,0,0,0,4830,916,4842,5758,5784
Aditee_KAZN_ZNF778ICTOR_wiz_67_S895_L001,0,0,0,0,9976,8865,1817,0,48344,20658,69002,69138
Aditee_MYO18A_Fam151a_wiz_176_S618_L001,8735,0,4,0,0,0,0,0,4310,8739,13049,13118
sample199_S199_L001,0,0,0,0,0,0,0,3311,612,3311,3923,3926
Aditee_MYO18A_Fam151a_wiz_4_S448_L001,8586,0,0,0,0,0,0,1,17850,8587,26437,26484
sample223_S223_L001,0,0,2,0,0,0,0,2199,924,2201,3125,3130
Aditee_MYO18A_Fam151a_wiz_105_S549_L001,9438,0,0,0,2,1,0,2,38898,9443,48341,48406
Aditee_KAZN_ZNF778ICTOR_wiz_134_S962_L001,0,0,2,4,9121,8492,1759,0,744,19378,20122,20274
Aditee_MYO18A_Fam151a_wiz_140_S584_L001,8055,0,0,1,0,0,0,11,69724,8067,77791,77860
Aditee_KAZN_ZNF778ICTOR_wiz_122_S950_L001,0,0,0,0,5827,6707,1482,1,504,14017,14521,14636
Aditee_MYO18A_Fam151a_wiz_65_S509_L001,10269,0,0,0,0,0,0,0,4960,10269,15229,15292
Aditee_KAZN_ZNF778ICTOR_wiz_35_S863_L001,0,0,0,0,6131,7140,1245,0,14034,14516,28550,28672
Aditee_ALDH1L2_Meir3_wiz_54_1_S690_L001,0,0,62,1081,0,0,0,3,63422,1146,64568,64556
sample424_S424_L001,0,0,19,0,1,0,0,2142,1380,2162,3542,3568
Aditee_ALDH1L2_Meir3_wiz_133_S769_L001,0,0,187,2161,0,0,0,4,18686,2352,21038,20942
sample103_S103_L001,0,0,4,0,0,0,0,3810,760,3814,4574,4588
Aditee_MYO18A_Fam151a_wiz_146_S590_L001,9378,0,0,0,0,0,0,1,4442,9379,13821,13872
Aditee_MYO18A_Fam151a_wiz_143_1_S587_L001,6486,0,0,0,2,0,0,0,3278,6488,9766,9800
sample23_S23_L001,0,0,25,0,0,0,0,5926,860,5951,6811,6848
sample385_S385_L001,0,0,1,0,0,0,0,3463,1020,3464,4484,4492
Aditee_MYO18A_Fam151a_wiz_80_S524_L001,8381,0,0,0,0,0,0,1,41610,8382,49992,50040
Aditee_MYO18A_Fam151a_wiz_79_S523_L001,8530,0,0,0,1,0,0,7,42842,8538,51380,51440
Aditee_ALDH1L2_Meir3_wiz_68_S704_L001,0,0,160,646,0,0,0,0,964,806,1770,1692
sample415_S415_L001,0,0,0,0,0,0,0,9570,1690,9570,11260,11278
Aditee_KAZN_ZNF778ICTOR_wiz_105_S933_L001,0,0,0,2,8255,8169,1625,0,704,18051,18755,18892
sample253_S253_L001,0,0,5,0,0,0,0,8916,610,8921,9531,9554
Aditee_ALDH1L2_Meir3_wiz_90_S726_L001,0,0,610,608,0,0,0,0,476,1218,1694,1616
Aditee_MYO18A_Fam151a_wiz_173_S615_L001,691,0,0,0,0,0,0,0,890,691,1581,1582
sample432_S432_L001,0,0,2,0,0,0,0,2555,798,2557,3355,3364
sample196_S196_L001,0,0,1,0,0,0,0,9014,812,9015,9827,9846
Aditee_ALDH1L2_Meir3_wiz_80_S716_L001,0,0,34,217,1,0,0,0,59088,252,59340,59330
sample334_S334_L001,0,0,0,0,0,0,0,8640,630,8640,9270,9284
Aditee_KAZN_ZNF778ICTOR_wiz_63_S891_L001,0,0,0,6,6007,7185,1097,0,2714,14295,17009,17112
sample166_S166_L001,0,0,7,0,0,0,0,1572,602,1579,2181,2190
sample81_S81_L001,0,0,7,0,0,0,0,9556,764,9563,10327,10346
Aditee_MYO18A_Fam151a_wiz_125_S569_L001,10126,0,1,0,0,0,0,0,3604,10127,13731,13800
Aditee_KAZN_ZNF778ICTOR_wiz_151_S979_L001,0,0,0,6,8198,7951,1291,0,712,17446,18158,18288
Aditee_KAZN_ZNF778ICTOR_wiz_48_S876_L001,0,0,0,0,7212,7034,1179,0,630,15425,16055,16184
Aditee_ALDH1L2_Meir3_wiz_134_S770_L001,0,0,190,1788,0,0,0,4,1588,1982,3570,3484
sample441_S441_L001,0,0,5,0,0,0,0,396,840,401,1241,1246
Aditee_KAZN_ZNF778ICTOR_wiz_155_S983_L001,0,0,0,0,5835,6226,1270,0,326,13331,13657,13754
Aditee_KAZN_ZNF778ICTOR_wiz_142_S970_L001,0,0,0,0,9030,9007,1498,0,466,19535,20001,20154
Aditee_MYO18A_Fam151a_wiz_107_S551_L001,4986,0,0,0,0,0,0,2,59026,4988,64014,64058
Aditee_ALDH1L2_Meir3_wiz_77_S713_L001,0,0,59,1146,1,0,0,0,53408,1206,54614,54590
Aditee_KAZN_ZNF778ICTOR_wiz_58_S886_L001,0,0,0,0,7767,7527,1270,0,2558,16564,19122,19232
sample89_S89_L001,0,0,2,2,0,0,0,14969,920,14973,15893,15916
Aditee_MYO18A_Fam151a_wiz_207_1_S629_L001,10313,0,0,0,0,0,0,1,51600,10314,61914,61968
Aditee_ALDH1L2_Meir3_wiz_109_S745_L001,0,0,0,4,0,0,0,0,1442,4,1446,1446
Aditee_ALDH1L2_Meir3_wiz_8_S644_L001,0,0,61,438,0,0,0,0,1186,499,1685,1656
Aditee_KAZN_ZNF778ICTOR_wiz_154_S982_L001,0,0,0,0,9426,8578,1682,0,768,19686,20454,20584
Aditee_ALDH1L2_Meir3_wiz_155_S791_L001,0,0,245,1098,0,0,0,2,1768,1345,3113,2988
Aditee_KAZN_ZNF778ICTOR_wiz_161_S989_L001,0,0,0,0,4898,5145,1125,0,900,11168,12068,12144
Aditee_KAZN_ZNF778ICTOR_wiz_59_S887_L001,0,0,0,0,9705,9452,1681,0,35766,20838,56604,56732
sample7_S7_L001,0,0,3,0,0,0,0,1727,354,1730,2084,2092
Aditee_MYO18A_Fam151a_wiz_27_S471_L001,11485,0,2,0,0,0,0,3,37836,11490,49326,49406
Aditee_MYO18A_Fam151a_wiz_103_S547_L001,8263,0,0,0,0,0,0,0,4162,8263,12425,12472
sample251_S251_L001,0,0,1,0,0,0,0,2653,1052,2654,3706,3718
Aditee_KAZN_ZNF778ICTOR_wiz_11_S839_L001,0,0,0,0,6194,6543,1052,0,1728,13789,15517,15624
sample151_S151_L001,0,0,2,0,0,0,0,5578,508,5580,6088,6102
sample72_S72_L001,0,0,2,0,0,0,0,5881,724,5883,6607,6622
sample292_S292_L001,0,0,4,0,0,0,0,1665,1168,1669,2837,2842
Aditee_KAZN_ZNF778ICTOR_wiz_84_S912_L001,0,0,0,0,8564,7800,1570,0,1624,17934,19558,19686
Aditee_MYO18A_Fam151a_wiz_51_S495_L001,10011,0,0,0,0,0,0,0,4426,10011,14437,14504
Aditee_KAZN_ZNF778ICTOR_wiz_150_S978_L001,0,0,0,2,6716,7162,1399,0,512,15279,15791,15898
sample379_S379_L001,2,0,2,0,0,0,0,5031,1040,5035,6075,6086
Aditee_MYO18A_Fam151a_wiz_142_S586_L001,8513,0,0,0,0,0,0,1,51370,8514,59884,59940
sample164_S164_L001,0,0,0,0,0,0,0,3092,916,3092,4008,4010
sample201_S201_L001,0,0,3,0,0,0,0,10011,1156,10014,11170,11192
sample169_S169_L001,0,0,5,0,0,0,0,11446,612,11451,12063,12092
Aditee_ALDH1L2_Meir3_wiz_145_S781_L001,0,0,116,779,0,0,0,0,826,895,1721,1670
Aditee_MYO18A_Fam151a_wiz_70_S514_L001,11079,0,2,0,2,0,0,0,5124,11083,16207,16298
Aditee_ALDH1L2_Meir3_wiz_95_S731_L001,0,0,113,581,1,0,0,3,26190,698,26888,26836
Aditee_KAZN_ZNF778ICTOR_wiz_46_S874_L001,0,0,0,0,7723,7340,1543,0,3422,16606,20028,20142
sample86_S86_L001,0,0,12,0,0,0,0,8979,504,8991,9495,9520
Aditee_ALDH1L2_Meir3_wiz_3_S639_L001,0,0,44,481,0,0,0,0,1318,525,1843,1824
Aditee_MYO18A_Fam151a_wiz_152_S596_L001,2,0,0,0,0,0,0,0,634,2,636,636
sample16_S16_L001,0,0,1,1,0,0,0,3762,1318,3764,5082,5090
Aditee_ALDH1L2_Meir3_wiz_127_1_S763_L001,0,0,172,882,16,0,0,2,2942,1072,4014,3954
Aditee_KAZN_ZNF778ICTOR_wiz_37_S865_L001,0,0,0,0,8201,7722,1627,0,2396,17550,19946,20078
sample293_S293_L001,0,0,0,0,0,0,0,26,10,26,36,36
sample18_S18_L001,0,0,0,0,0,0,0,3443,974,3443,4417,4428
Aditee_KAZN_ZNF778ICTOR_wiz_141_S969_L001,0,0,4,0,8567,8263,1316,0,332,18150,18482,18628
Aditee_ALDH1L2_Meir3_wiz_101_S737_L001,0,0,114,622,0,0,0,0,6148,736,6884,6830
sample121_S121_L001,0,0,13,0,0,0,0,4153,738,4166,4904,4926
Aditee_ALDH1L2_Meir3_wiz_129_S765_L001,0,0,202,1427,0,0,0,6,1450,1635,3085,2992
Aditee_ALDH1L2_Meir3_wiz_201_S817_L001,0,0,127,1343,0,0,0,4,828,1474,2302,2260
Aditee_MYO18A_Fam151a_wiz_19_S463_L001,10869,0,0,0,0,0,0,1,5058,10870,15928,16000
Aditee_KAZN_ZNF778ICTOR_wiz_65_S893_L001,0,0,0,0,7115,7257,1268,0,1836,15640,17476,17574
Aditee_MYO18A_Fam151a_wiz_145_S589_L001,8210,0,0,0,1,0,0,0,4144,8211,12355,12408
Aditee_KAZN_ZNF778ICTOR_wiz_118_S946_L001,0,0,0,2,8705,8000,1482,0,672,18189,18861,18996
Aditee_KAZN_ZNF778ICTOR_wiz_89_S917_L001,0,0,0,0,8339,7961,1348,0,6404,17648,24052,24180
Aditee_KAZN_ZNF778ICTOR_wiz_69_S897_L001,0,0,0,0,9238,9350,1860,1,34818,20449,55267,55404
Aditee_KAZN_ZNF778ICTOR_wiz_160303_S1014_L001,0,0,0,0,1002,1998,476,0,88,3476,3564,3592
sample102_S102_L001,0,0,1,0,0,0,0,3659,1076,3660,4736,4744
Aditee_ALDH1L2_Meir3_wiz_168_S802_L001,0,0,0,0,0,0,0,0,890,0,890,890
Aditee_ALDH1L2_Meir3_wiz_75_S711_L001,0,0,188,769,0,0,0,4,40026,961,40987,40898
Aditee_ALDH1L2_Meir3_wiz_178_1_S812_L001,0,0,99,812,0,0,0,2,704,913,1617,1578
sample41_S41_L001,0,0,1,0,0,0,0,779,656,780,1436,1438
sample394_S394_L001,2,0,0,0,0,0,0,3998,536,4000,4536,4538
sample25_S25_L001,0,0,0,0,0,0,0,5679,1212,5679,6891,6902
Aditee_ALDH1L2_Meir3_wiz_22_S658_L001,0,0,92,400,0,0,0,4,10908,496,11404,11352
Aditee_ALDH1L2_Meir3_wiz_NC_S828_L001,0,0,0,2,0,0,0,4,24,6,30,30
sample118_S118_L001,0,0,14,0,0,0,0,1614,1246,1628,2874,2896
Aditee_KAZN_ZNF778ICTOR_wiz_106_S934_L001,0,0,0,0,8627,7881,1547,0,704,18055,18759,18898
Aditee_ALDH1L2_Meir3_wiz_111_S747_L001,0,0,184,1953,0,0,0,0,38260,2137,40397,40292
Aditee_MYO18A_Fam151a_wiz_179_S621_L001,9205,0,0,0,0,0,0,0,4194,9205,13399,13456
sample426_S426_L001,0,0,17,0,0,0,0,773,612,790,1402,1422
sample233_S233_L001,0,0,1,0,0,0,0,7092,562,7093,7655,7676
Aditee_KAZN_ZNF778ICTOR_wiz_112_S940_L001,0,0,0,0,9662,9940,1841,0,472,21443,21915,22070
Aditee_MYO18A_Fam151a_wiz_180_S622_L001,3042,0,0,0,0,0,0,0,1290,3042,4332,4350
Aditee_MYO18A_Fam151a_wiz_68_S512_L001,10907,0,0,0,0,0,0,0,4796,10907,15703,15784
Aditee_MYO18A_Fam151a_wiz_153_S597_L001,9217,0,0,0,0,0,0,2,3800,9219,13019,13072
Aditee_MYO18A_Fam151a_wiz_46_S490_L001,11433,0,0,0,0,0,0,1,5434,11434,16868,16928
sample46_S46_L001,0,0,6,0,0,0,0,7921,864,7927,8791,8808
Aditee_KAZN_ZNF778ICTOR_wiz_51_S879_L001,0,0,0,0,9070,8323,1402,1,26144,18796,44940,45060
Aditee_KAZN_ZNF778ICTOR_wiz_3_S831_L001,0,0,0,0,2555,3210,621,0,1120,6386,7506,7558
Aditee_MYO18A_Fam151a_wiz_34_S478_L001,11746,0,0,0,0,0,0,11,88098,11757,99855,99924
sample132_S132_L001,0,0,3,0,0,0,0,6949,724,6952,7676,7698
Aditee_ALDH1L2_Meir3_wiz_12_S648_L001,0,0,90,880,0,0,0,0,712,970,1682,1630
Aditee_KAZN_ZNF778ICTOR_wiz_18_S846_L001,0,0,0,0,9502,8456,1537,0,42882,19495,62377,62512
sample212_S212_L001,0,0,2,0,0,0,0,7837,830,7839,8669,8682
Aditee_MYO18A_Fam151a_wiz_109_S553_L001,5,0,0,0,0,0,0,0,9668,5,9673,9674
Aditee_KAZN_ZNF778ICTOR_wiz_85_S913_L001,0,0,2,2,9144,7247,2285,0,1504,18680,20184,20326
sample338_S338_L001,0,0,0,0,0,0,0,1604,1062,1604,2666,2670
Aditee_ALDH1L2_Meir3_wiz_161_S797_L001,0,0,66,744,0,0,0,2,1582,812,2394,2380
sample327_S327_L001,0,0,2,0,0,0,0,6216,664,6218,6882,6890
sample57_S57_L001,0,0,13,0,0,0,0,7548,888,7561,8449,8476
sample36_S36_L001,0,0,0,0,2,0,0,1508,1064,1510,2574,2574
sample192_S192_L001,0,0,2,0,0,0,0,2709,358,2711,3069,3074
sample12_S12_L001,0,0,11,0,0,0,0,8543,750,8554,9304,9324
sample287_S287_L001,0,0,8,0,0,0,0,4354,1078,4362,5440,5460
Aditee_ALDH1L2_Meir3_wiz_141218_S823_L001,0,0,173,1826,0,0,0,8,1114,2007,3121,3044
sample180_S180_L001,0,0,5,0,0,0,0,4053,1114,4058,5172,5184
Aditee_MYO18A_Fam151a_wiz_104_S548_L001,9591,0,0,0,0,0,0,0,4370,9591,13961,14022
Aditee_ALDH1L2_Meir3_wiz_182_S816_L001,0,0,0,0,0,0,0,0,30034,0,30034,30034
sample94_S94_L001,0,0,3,0,0,0,0,4048,1614,4051,5665,5678
sample363_S363_L001,8,0,0,0,0,0,0,6,1236,14,1250,1250
Aditee_KAZN_ZNF778ICTOR_wiz_38_S866_L001,0,0,0,0,7806,7530,1430,0,50756,16766,67522,67644
sample27_S27_L001,0,0,4,0,0,0,0,2814,678,2818,3496,3504
sample54_S54_L001,0,0,4,0,0,0,0,3025,1482,3029,4511,4520
Aditee_MYO18A_Fam151a_wiz_64_S508_L001,11870,0,0,0,0,0,0,4,75300,11874,87174,87244
Aditee_ALDH1L2_Meir3_wiz_126_S762_L001,0,0,208,1786,0,0,0,4,5606,1998,7604,7514
Aditee_MYO18A_Fam151a_wiz_61_S505_L001,10487,0,1,0,0,0,0,1,24640,10489,35129,35212
sample165_S165_L001,0,0,3,0,0,0,0,3954,626,3957,4583,4596
Aditee_KAZN_ZNF778ICTOR_wiz_56_S884_L001,0,0,0,0,9660,9165,1596,2,514,20423,20937,21070
Aditee_ALDH1L2_Meir3_wiz_98_1_S734_L001,0,0,119,1553,0,0,0,0,710,1672,2382,2336
Aditee_KAZN_ZNF778ICTOR_wiz_141216_S1016_L001,0,0,0,0,10884,9455,1757,0,500,22096,22596,22736
Aditee_KAZN_ZNF778ICTOR_wiz_75_S903_L001,0,0,2,0,10424,9408,1728,0,1288,21562,22850,23012
Aditee_MYO18A_Fam151a_wiz_111_S555_L001,7428,0,0,0,4,0,0,6,68760,7438,76198,76258
Aditee_ALDH1L2_Meir3_wiz_142_S778_L001,0,0,209,1163,0,0,0,0,1190,1372,2562,2452
Aditee_MYO18A_Fam151a_wiz_94_S538_L001,9068,0,0,0,0,0,0,2,3756,9070,12826,12882
sample35_S35_L001,0,0,5,0,0,0,0,9581,942,9586,10528,10548
sample436_S436_L001,0,0,0,0,0,0,0,32,1482,32,1514,1518
Aditee_KAZN_ZNF778ICTOR_wiz_79_S907_L001,0,0,3,0,7737,6690,1354,0,842,15784,16626,16754
Aditee_MYO18A_Fam151a_wiz_59_S503_L001,10718,0,0,0,0,0,0,3,52600,10721,63321,63402
sample355_S355_L001,0,0,22,0,0,0,0,6726,1314,6748,8062,8090
sample403_S403_L001,1,0,0,0,0,0,0,3977,1036,3978,5014,5020
Aditee_ALDH1L2_Meir3_wiz_89_S725_L001,0,0,57,590,0,0,0,0,1222,647,1869,1850
sample206_S206_L001,0,0,26,0,0,0,0,5985,716,6011,6727,6766
sample22_S22_L001,0,0,1,0,0,0,0,3203,986,3204,4190,4198
sample337_S337_L001,0,0,0,0,0,0,0,35,506,35,541,542
sample280_S280_L001,0,0,9,0,0,0,0,7983,1056,7992,9048,9074
Aditee_MYO18A_Fam151a_wiz_43_S487_L001,9430,0,2,0,0,0,0,0,4582,9432,14014,14072
Aditee_MYO18A_Fam151a_wiz_141_S585_L001,8844,0,0,0,0,0,0,1,64554,8845,73399,73460
sample305_S305_L001,0,0,1,0,0,0,0,7318,892,7319,8211,8226
sample19_S19_L001,0,0,2,0,0,1,0,2444,4110,2447,6557,6568
sample397_S397_L001,0,0,7,0,0,0,0,3738,826,3745,4571,4580
sample346_S346_L001,0,0,0,0,0,0,0,2373,380,2373,2753,2758
sample404_S404_L001,0,0,1,0,0,0,0,143,658,144,802,804
Aditee_KAZN_ZNF778ICTOR_wiz_44_S872_L001,0,0,0,0,8271,8170,1699,0,1594,18140,19734,19842
Aditee_ALDH1L2_Meir3_wiz_92_S728_L001,0,0,94,490,0,0,0,0,1050,584,1634,1586
Aditee_ALDH1L2_Meir3_wiz_167_S801_L001,0,0,0,8,0,0,0,0,31768,8,31776,31776
Aditee_KAZN_ZNF778ICTOR_wiz_10_S838_L001,0,0,0,0,6487,7015,1217,0,5828,14719,20547,20652
sample428_S428_L001,2,0,0,0,0,0,0,4625,2158,4627,6785,6788
sample207_S207_L001,0,0,8,0,0,0,0,9521,522,9529,10051,10078
Aditee_KAZN_ZNF778ICTOR_wiz_202_S1010_L001,0,0,0,0,6085,5429,790,0,720,12304,13024,13086
Aditee_MYO18A_Fam151a_wiz_82_S526_L001,8544,0,0,0,0,0,0,0,16124,8544,24668,24718
sample333_S333_L001,0,0,5,0,0,0,0,881,1140,886,2026,2032
Aditee_ALDH1L2_Meir3_wiz_121_S757_L001,0,0,185,2096,0,0,0,2,1472,2283,3755,3684
sample329_S329_L001,0,0,8,0,0,0,0,8924,980,8932,9912,9936
Aditee_KAZN_ZNF778ICTOR_wiz_206_1_S1012_L001,0,0,0,0,5965,5497,889,0,894,12351,13245,13326
Aditee_KAZN_ZNF778ICTOR_wiz_197_S997_L001,0,0,4,0,7788,7050,1766,0,888,16608,17496,17618
Aditee_KAZN_ZNF778ICTOR_wiz_203_S1011_L001,0,0,0,0,7095,6643,1257,0,772,14995,15767,15868
Aditee_ALDH1L2_Meir3_wiz_103_S739_L001,0,0,148,1036,0,0,0,4,2796,1188,3984,3930
sample430_S430_L001,0,0,4,0,0,0,0,5885,1188,5889,7077,7088
Aditee_ALDH1L2_Meir3_wiz_88_S724_L001,0,0,57,704,0,0,0,0,334,761,1095,1078
sample116_S116_L001,0,0,3,0,0,0,0,4519,842,4522,5364,5372
Aditee_MYO18A_Fam151a_wiz_87_S531_L001,11513,0,1,0,2,0,0,2,67866,11518,79384,79462
Aditee_ALDH1L2_Meir3_wiz_16_S652_L001,0,0,67,515,0,0,0,0,1218,582,1800,1762
Aditee_KAZN_ZNF778ICTOR_wiz_133_S961_L001,0,0,0,2,8692,8167,1586,0,466,18447,18913,19040
Aditee_MYO18A_Fam151a_wiz_135_S579_L001,9283,0,0,0,0,0,0,1,22864,9284,32148,32208
sample160_S160_L001,0,0,4,0,0,0,0,3753,776,3757,4533,4544
sample153_S153_L001,0,0,27,0,0,0,0,5066,1504,5093,6597,6638
sample431_S431_L001,0,0,5,0,0,0,0,4297,998,4302,5300,5314
sample297_S297_L001,0,0,0,0,0,0,0,474,544,474,1018,1018
Aditee_MYO18A_Fam151a_wiz_116_S560_L001,8814,0,4,0,4,0,0,2,65214,8824,74038,74096
Aditee_ALDH1L2_Meir3_wiz_180_S814_L001,0,0,14,168,0,0,0,4,35810,186,35996,35992
sample183_S183_L001,0,0,0,0,0,0,0,4201,606,4201,4807,4814
Aditee_KAZN_ZNF778ICTOR_wiz_160_S988_L001,0,0,0,0,9136,8181,1440,0,560,18757,19317,19456
Aditee_ALDH1L2_Meir3_wiz_156_S792_L001,0,0,98,1024,0,0,0,2,902,1124,2026,1990
Aditee_KAZN_ZNF778ICTOR_wiz_28_S856_L001,0,0,0,6,9655,8807,1468,0,1314,19936,21250,21380
Aditee_ALDH1L2_Meir3_wiz_64_S700_L001,0,0,153,1162,0,0,0,1,878,1316,2194,2108
sample235_S235_L001,0,0,1,0,0,0,0,8673,684,8674,9358,9370
Aditee_ALDH1L2_Meir3_wiz_11_S647_L001,0,0,41,808,0,0,0,0,1226,849,2075,2060
Aditee_MYO18A_Fam151a_wiz_91_S535_L001,10606,0,0,0,0,0,0,4,4766,10610,15376,15436
sample31_S31_L001,0,0,0,0,0,0,0,9118,1240,9118,10358,10368
sample380_S380_L001,2,0,0,10,0,0,0,4941,1028,4953,5981,5984
sample195_S195_L001,0,0,1,0,0,0,0,731,494,732,1226,1230
Aditee_MYO18A_Fam151a_wiz_44_S488_L001,9979,0,0,0,0,0,0,0,5226,9979,15205,15278
sample73_S73_L001,0,0,0,0,1,0,0,3635,1036,3636,4672,4674
Aditee_MYO18A_Fam151a_wiz_7_S451_L001,9056,0,4,0,0,0,0,4,62962,9064,72026,72086
Aditee_ALDH1L2_Meir3_wiz_100_S736_L001,0,0,133,1060,0,0,0,0,19820,1193,21013,20950
Aditee_MYO18A_Fam151a_wiz_PC_S635_L001,5852,0,1,0,0,0,0,3,73904,5856,79760,79798
Aditee_MYO18A_Fam151a_wiz_203_S627_L001,5284,0,0,0,4,3,0,1,38116,5292,43408,43450
Aditee_KAZN_ZNF778ICTOR_wiz_136_S964_L001,0,0,0,0,9141,8583,1594,0,614,19318,19932,20070
Aditee_ALDH1L2_Meir3_wiz_124_S760_L001,0,0,173,1831,0,0,0,10,6996,2014,9010,8896
sample138_S138_L001,0,0,1,0,0,0,0,7256,1036,7257,8293,8310
sample244_S244_L001,0,0,1,0,0,0,0,6993,1282,6994,8276,8288
Aditee_KAZN_ZNF778ICTOR_wiz_99_S927_L001,0,0,0,4,7776,7337,1544,0,580,16661,17241,17362
sample189_S189_L001,0,0,3,0,0,0,0,4608,652,4611,5263,5276
Aditee_KAZN_ZNF778ICTOR_wiz_207_1_S1013_L001,0,0,0,0,1209,3403,583,0,394,5195,5589,5624
Aditee_ALDH1L2_Meir3_wiz_37_S673_L001,0,0,128,912,0,0,0,0,1186,1040,2226,2144
sample113_S113_L001,0,0,10,0,0,0,0,2701,878,2711,3589,3604
Aditee_MYO18A_Fam151a_wiz_86_S530_L001,10706,0,0,0,1,0,0,7,63662,10714,74376,74444
Aditee_MYO18A_Fam151a_wiz_13_S457_L001,10958,0,0,0,0,0,0,0,5180,10958,16138,16200
sample291_S291_L001,0,0,2,0,0,0,0,1432,332,1434,1766,1772
Aditee_ALDH1L2_Meir3_wiz_160_S796_L001,0,0,234,1304,0,0,0,0,768,1538,2306,2190
Aditee_MYO18A_Fam151a_wiz_96_S540_L001,10188,0,0,0,0,0,0,1,4576,10189,14765,14826
sample378_S378_L001,0,0,2,0,0,0,0,2400,584,2402,2986,2992
Aditee_KAZN_ZNF778ICTOR_wiz_139_1_S967_L001,1,0,0,6,6702,6384,1295,0,672,14388,15060,15160
Aditee_KAZN_ZNF778ICTOR_wiz_116_S944_L001,0,0,0,0,6843,7410,1368,0,862,15621,16483,16596
sample185_S185_L001,0,0,0,0,0,0,0,12701,674,12701,13375,13400
